version,rarity,hp,attack,magic_attack,defense,magic_defense,agility
v1,L,5335,268,1502,876,758,154
v1,L,4651,877,1497,545,552,154
v1,L,4540,1051,1200,699,626,154
v1,L,4581,564,1139,1050,1038,154
v1,L,4703,964,1105,754,754,154
v1,L,5738,825,1067,755,512,154
v1,L,5428,431,1059,999,990,154
v1,L,4988,879,792,1091,849,154
v1,L,5397,525,737,1103,1227,154
v1,L,4934,871,728,1237,832,154
v1,L,4520,1151,675,985,957,154
v1,L,5210,857,500,1069,1214,154
v1,L,5743,857,411,972,1184,154
v1,L,4850,684,1384,636,806,153
v1,L,5688,331,1382,995,555,153
v1,L,4581,829,1340,737,689,153
v1,L,4837,696,1252,697,923,153
v1,L,5258,730,1223,599,813,153
v1,L,5023,857,1045,912,685,153
v1,L,4240,983,1028,591,1223,153
v1,L,4698,1115,936,937,602,153
v1,L,4805,489,928,1210,1183,153
v1,L,5236,1012,894,765,725,153
v1,L,5010,861,806,886,1053,153
v1,L,4887,1337,786,551,794,153
v1,L,5593,909,785,956,667,153
v1,L,5721,506,732,1065,1148,153
v1,L,4601,1597,677,664,602,153
v1,L,5452,693,564,1087,1227,153
v1,L,5244,1469,546,830,500,153
v1,L,5393,896,340,1241,1131,153
v1,L,5524,1274,305,984,835,153
v1,L,5338,1465,243,825,899,153
v1,L,4325,601,1538,779,815,152
v1,L,4927,344,1482,1226,528,152
v1,L,5028,529,1461,557,914,152
v1,L,5053,842,1115,941,565,152
v1,L,4571,956,1042,976,702,152
v1,L,5078,499,952,1202,1016,152
v1,L,4694,696,920,983,1182,152
v1,L,5138,1057,888,625,858,152
v1,L,5316,1127,856,749,595,152
v1,L,4770,742,824,978,1222,152
v1,L,4289,1061,757,918,1151,152
v1,L,4900,871,723,986,1112,152
v1,L,4484,1233,707,696,1106,152
v1,L,5293,694,647,1190,1082,152
v1,L,5731,660,609,1103,1064,152
v1,L,4994,1589,364,840,700,152
v1,L,4600,860,1518,570,554,151
v1,L,4824,305,1326,912,1172,151
v1,L,4684,899,1277,740,633,151
v1,L,5462,499,1091,953,886,151
v1,L,5195,573,1007,958,1023,151
v1,L,5436,948,985,595,767,151
v1,L,5332,738,936,1220,561,151
v1,L,5129,595,883,1202,956,151
v1,L,5583,883,881,1017,516,151
v1,L,5667,283,863,1154,1221,151
v1,L,5265,844,830,774,1039,151
v1,L,5564,1056,798,523,890,151
v1,L,5476,1045,787,639,848,151
v1,L,4428,1281,710,1198,561,151
v1,L,5058,1131,696,900,793,151
v1,L,4513,1101,673,832,1196,151
v1,L,5692,739,631,1014,1030,151
v1,L,5712,786,592,914,1109,151
v1,L,4749,1033,520,1185,1047,151
v1,L,5716,641,483,1239,1145,151
v1,L,4645,640,1338,1140,537,150
v1,L,4653,977,1196,877,517,150
v1,L,5486,333,1072,907,1188,150
v1,L,4387,918,1025,926,924,150
v1,L,4378,1028,980,865,896,150
v1,L,4691,776,921,1022,1034,150
v1,L,4851,1271,872,585,758,150
v1,L,4870,1031,849,818,892,150
v1,L,5409,1455,675,593,502,150
v1,L,5128,1510,474,815,623,150
v1,L,5484,751,459,1171,1203,150
v1,L,5732,1532,438,641,529,150
v1,L,5331,1438,344,704,926,150
v1,L,5507,1393,302,788,883,150
v1,L,4245,524,1492,843,973,149
v1,L,4271,866,1327,678,873,149
v1,L,4272,958,1278,576,913,149
v1,L,4506,763,1262,1172,506,149
v1,L,5532,445,1065,885,1041,149
v1,L,5147,912,912,766,894,149
v1,L,4687,1319,895,507,815,149
v1,L,4764,1327,875,718,585,149
v1,L,4943,757,842,1213,866,149
v1,L,5049,835,822,805,1141,149
v1,L,4821,728,800,1191,1048,149
v1,L,5367,746,734,1247,800,149
v1,L,4952,1343,667,607,880,149
v1,L,5471,651,645,1241,1019,149
v1,L,5083,1396,458,674,974,149
v1,L,5033,1370,410,771,1006,149
v1,L,5388,664,1354,607,665,148
v1,L,4912,273,1303,958,1172,148
v1,L,4995,1032,951,701,807,148
